Year,G,PG,I,PNC,PUC,PPT,PD,PN,PS,YR,YRSQ,logG,logPG,logI,logPNC,logPUC,logPPT,logPD,logPN,logPS,Population,G $ per capita,logGpc,Lagged logGpc,Lagged logPG
1960,129.7,0.925,6036,1.045,0.836,0.81,0.444,0.331,0.302,-13,169,2.112939976,-0.033858267,3.780749231,0.01911629,-0.077793723,-0.091514981,-0.35261703,-0.480172006,-0.519993057,17.9979,7.206396302,0.857718142,,
1961,131.3,0.914,6113,1.045,0.869,0.846,0.448,0.335,0.307,-12,144,2.118264726,-0.039053804,3.786254396,0.01911629,-0.060980224,-0.072629637,-0.348721986,-0.474955193,-0.512861625,18.2992,7.175177057,0.855832622,0.857718142,-0.033858267
1962,137.1,0.919,6271,1.041,0.948,0.874,0.457,0.338,0.314,-11,121,2.137037455,-0.036684489,3.797336801,0.01745073,-0.023191663,-0.058488567,-0.3400838,-0.4710833,-0.503070352,18.5771,7.380053937,0.868059536,0.855832622,-0.039053804
1963,141.6,0.918,6378,1.035,0.96,0.885,0.463,0.343,0.32,-10,100,2.151063253,-0.037157319,3.804684515,0.01494035,-0.017728767,-0.053056729,-0.334419009,-0.46470588,-0.494850022,18.8483,7.51261387,0.875791068,0.868059536,-0.036684489
1964,148.8,0.914,6727,1.032,1.001,0.901,0.47,0.347,0.325,-9,81,2.172602931,-0.039053804,3.827821428,0.013679697,0.000434077,-0.045275209,-0.327902142,-0.459670525,-0.488116639,19.1141,7.784829001,0.891249077,0.875791068,-0.037157319
1965,155.9,0.949,7027,1.009,0.994,0.919,0.471,0.353,0.332,-8,64,2.192846115,-0.022733788,3.846769954,0.003891166,-0.002613616,-0.036684489,-0.326979093,-0.452225295,-0.478861916,19.3526,8.055765117,0.906106795,0.891249077,-0.039053804
1966,164.9,0.97,7280,0.991,0.97,0.952,0.475,0.366,0.342,-7,49,2.217220656,-0.013228266,3.862131379,-0.003926346,-0.013228266,-0.021363052,-0.32330639,-0.436518915,-0.465973894,19.5576,8.431504888,0.925905096,0.906106795,-0.022733788
1967,171,1,7513,1,1,1,0.483,0.375,0.353,-6,36,2.23299611,0,3.875813389,0,0,0,-0.316052869,-0.425968732,-0.452225295,19.7457,8.660113341,0.937523576,0.925905096,-0.013228266
1968,183.4,1.014,7728,1.028,1.028,1.046,0.501,0.39,0.368,-5,25,2.263399331,0.006037955,3.888067113,0.011993115,0.011993115,0.019531685,-0.300162274,-0.408935393,-0.434152181,19.9399,9.197638905,0.963676355,0.937523576,0
1969,195.8,1.047,7891,1.044,1.031,1.127,0.514,0.409,0.386,-4,16,2.291812687,0.019946682,3.897132043,0.018700499,0.013258665,0.051923916,-0.289036881,-0.388276692,-0.413412695,20.1385,9.722670507,0.987785568,0.963676355,0.006037955
1970,207.4,1.056,8134,1.076,1.043,1.285,0.527,0.427,0.407,-3,9,2.316808752,0.023663918,3.910304168,0.031812271,0.018284308,0.108903128,-0.278189385,-0.369572125,-0.390405591,20.3984,10.16746411,1.007212648,0.987785568,0.019946682
1971,218.3,1.063,8322,1.12,1.102,1.377,0.547,0.442,0.431,-2,4,2.339053736,0.026533265,3.920227711,0.049218023,0.042181595,0.13893394,-0.262012674,-0.354577731,-0.36552273,20.6827,10.55471481,1.023446503,1.007212648,0.023663918
1972,226.8,1.076,8562,1.11,1.105,1.434,0.555,0.458,0.451,-1,1,2.35564305,0.031812271,3.932575223,0.045322979,0.043362278,0.156549151,-0.255707017,-0.339134522,-0.345823458,20.9284,10.83694884,1.034907023,1.023446503,0.026533265
1973,237.9,1.181,9042,1.111,1.176,1.448,0.566,0.497,0.474,0,0,2.376394442,0.072249898,3.956264503,0.045714059,0.070407322,0.160768562,-0.247183569,-0.303643611,-0.324221658,21.1357,11.25583728,1.051377806,1.034907023,0.031812271
1974,225.8,1.599,8867,1.175,1.226,1.48,0.604,0.572,0.513,1,1,2.353723938,0.203848464,3.947776708,0.070037867,0.08849047,0.170261715,-0.218963061,-0.242603971,-0.289882635,21.3342,10.58394503,1.024647575,1.051377806,0.072249898
1975,232.4,1.708,8944,1.276,1.464,1.586,0.659,0.615,0.556,2,4,2.366236124,0.232487866,3.951531791,0.105850674,0.165541077,0.200303183,-0.181114585,-0.211124884,-0.254925208,21.5465,10.78597452,1.03285939,1.024647575,0.203848464
1976,241.7,1.779,9175,1.357,1.679,1.742,0.695,0.638,0.598,3,9,2.38327665,0.250175948,3.962606073,0.132579848,0.225050696,0.241048151,-0.158015195,-0.195179321,-0.223298816,21.7563,11.10942578,1.045691612,1.03285939,0.232487866
1977,249.2,1.882,9381,1.429,1.828,1.824,0.727,0.671,0.648,4,16,2.396548038,0.274619619,3.972249136,0.155032229,0.261976191,0.261024834,-0.138465589,-0.17327748,-0.188424994,21.976,11.33964325,1.054599392,1.045691612,0.250175948
1978,261.3,1.963,9735,1.538,1.865,1.878,0.769,0.719,0.698,5,25,2.41713941,0.2929203,3.988335956,0.186956336,0.270678836,0.273695588,-0.11407366,-0.14327111,-0.156144577,22.2095,11.7652356,1.070600628,1.054599392,0.274619619
1979,248.9,2.656,9829,1.66,2.01,2.003,0.821,0.8,0.756,6,36,2.396024897,0.424228071,3.992509335,0.220108088,0.303196057,0.301680949,-0.085656843,-0.096910013,-0.121478205,22.4567,11.0835519,1.044678959,1.070600628,0.2929203
1980,226.8,3.691,9722,1.793,2.081,2.516,0.892,0.894,0.839,7,49,2.35564305,0.567144045,3.987755617,0.25358029,0.31827208,0.400710637,-0.049635146,-0.048662481,-0.076238039,22.7225,9.981296072,0.999186938,1.044678959,0.424228071
1981,225.6,4.109,9769,1.902,2.569,3.12,0.957,0.969,0.926,8,64,2.353339095,0.613736141,3.98985011,0.279210513,0.409764104,0.494154594,-0.019088062,-0.013676223,-0.033389013,22.9466,9.831521881,0.99262075,0.999186938,0.567144045
1982,228.8,3.894,9725,1.976,2.964,3.46,1,1,1,9,81,2.35945602,0.590395947,3.98788961,0.29578694,0.471878199,0.539076099,0,0,0,23.1664,9.876372678,0.994597469,0.99262075,0.613736141
1983,239.6,3.764,9930,2.026,3.297,3.626,1.041,1.021,1.062,10,100,2.379486814,0.575649615,3.996949248,0.306639441,0.518118947,0.5594278,0.01745073,0.009025742,0.026124517,23.3792,10.24842595,1.010657168,0.994597469,0.590395947
1984,244.7,3.707,10421,2.085,3.757,3.852,1.038,1.05,1.117,11,121,2.388633969,0.569022586,4.017909396,0.319106059,0.574841195,0.585686279,0.016197354,0.021189299,0.048053173,23.5825,10.37633839,1.016044126,1.010657168,0.575649615
1985,245.8,3.738,10563,2.152,3.797,4.028,1.045,1.075,1.173,12,144,2.390581879,0.572639297,4.02378728,0.332842267,0.579440597,0.605089462,0.01911629,0.031408464,0.069298012,23.7924,10.33103008,1.014143626,1.016044126,0.569022586
1986,269.4,2.921,10780,2.24,3.632,4.264,1.053,1.069,1.224,13,169,2.430397591,0.465531557,4.032618761,0.350248018,0.56014584,0.629817196,0.022428371,0.028977705,0.087781418,24.0133,11.21878292,1.049945745,1.014143626,0.572639297
1987,276.8,3.038,10859,2.321,3.776,4.413,1.085,1.111,1.271,14,196,2.442166086,0.48258777,4.035789833,0.365675141,0.577031986,0.644733927,0.035429738,0.045714059,0.104145551,24.2289,11.42437337,1.057832388,1.049945745,0.465531557
1988,279.9,3.065,11186,2.368,3.939,4.494,1.105,1.152,1.336,15,225,2.447002898,0.486430479,4.048674815,0.374381698,0.595385981,0.652633068,0.043362278,0.061452479,0.125806458,24.4499,11.44789958,1.058725811,1.057832388,0.48258777
1989,284.1,3.353,11300,2.414,4.019,4.719,1.129,1.213,1.408,16,256,2.453471234,0.525433553,4.053078443,0.382737266,0.604118006,0.673849977,0.052693942,0.083860801,0.148602655,24.6819,11.51045908,1.061092645,1.058725811,0.486430479
1990,282,3.834,11389,2.451,3.926,5.197,1.144,1.285,1.482,17,289,2.450249108,0.583652109,4.056485593,0.389343311,0.593950295,0.715752717,0.058426024,0.108903128,0.170848204,24.9399,11.30718247,1.053354401,1.061092645,0.525433553
1991,271.8,3.766,11272,2.538,3.942,5.427,1.167,1.332,1.557,18,324,2.434249452,0.575880316,4.05200098,0.404491618,0.59571662,0.734559822,0.067070856,0.124504225,0.192288613,25.2137,10.77985381,1.032612871,1.053354401,0.583652109
1992,280.2,3.751,11466,2.528,4.113,5.518,1.184,1.358,1.625,19,361,2.447468131,0.574147064,4.059411937,0.40277707,0.61415871,0.741781696,0.073351702,0.13289977,0.210853365,25.5078,10.98487521,1.040795128,1.032612871,0.575880316
1993,286.7,3.713,11476,2.663,4.47,6.086,1.2,1.379,1.684,20,400,2.457427693,0.569724949,4.05979054,0.425371166,0.650307523,0.784331948,0.079181246,0.139564266,0.226342087,25.7908,11.11636708,1.045962879,1.040795128,0.574147064
1994,290.2,3.732,11636,2.754,4.73,6.268,1.225,1.396,1.734,21,441,2.462697408,0.571941635,4.065803713,0.439963936,0.674861141,0.797128988,0.088136089,0.144885418,0.239049093,26.0372,11.14559169,1.047103129,1.045962879,0.569724949
1995,297.8,3.789,11934,2.815,5.224,6.41,1.239,1.419,1.786,22,484,2.473924693,0.578524605,4.076786034,0.449478399,0.718003168,0.80685803,0.093071306,0.151982396,0.251881455,26.289,11.32793183,1.054150627,1.047103129,0.571941635
