PricePerSqFtSqrt,TaxPerSqFtSqrt,PropClass
10.723805294763608,4.935585071701226,4A
6.324555320336759,2.6981475126464085,1
13.231175306827431,7.890120404657967,4A
12.168976949604268,9.101648202386203,15F
8.242815053123538,4.1739669380578475,1
12.195285974506707,8.643899582942874,4A
14.87460923856489,7.1931912250405246,4A
15.98489912386062,7.8346665532108,4A
13.19909087778397,9.859665308721183,4A
9.50804922158063,10.452224643586646,4C
8.45470283333483,4.630874647407334,1
11.718788333270638,6.578677678682852,4A
10.940246797947475,9.436524784050535,4A
10.920073259827518,5.74699921698272,4A
10,6.8533933201006345,15F
18.073599530807357,10.15987204643838,4A
14.154433934283633,9.173112884948054,4A
13.363046059937083,10.176983836088176,4A
8.185474940405108,6.716695616149358,4A
8.763218586797889,7.514319663149819,4A
10.567355392906968,8.246635677656677,4A
14.148710188564893,9.644532129657716,4A
10.223991392797629,8.041703799568845,4A
17.327117475217854,9.783762057613625,4A
3.6545861598818545,4.276797867564003,4B
17.9041056743977,3.733229165213408,1
6.7172911206825034,4.57230795113365,1
2.6094060626893625,2.162637278879655,4B
6.571301241002424,4.47213595499958,4B
9.56551096387433,4.962056025479761,4A
5.453806010484788,4.0854620301748,4B
13.228756555322953,6.9,4A
4.080441152620633,3.6842909765652334,4A
6.576321160040772,1.7320508075688772,1
5.086845781031699,3.3388620816080437,4B
13.311911958843478,2.00124960961895,1
7.7779174590631905,9.037145567047153,4A
15.825738529370438,9.48298476219381,4A
2.6398863611905723,2.9514403263491538,1
9.373046463130331,4.9074433262137624,4A
4.41316213162399,5.506450762514817,4B
4.441733895676327,3.307264730861441,4B
14.757032221961163,10.56338014084507,4A
14.142135623730951,1.972561786104557,1
10.1203260817031,3.93674992855782,4B
15.591472028003,2.00549245822566,1
10.434797554337123,4.1739669380578475,1
12.76773276662697,9.947260929522256,4A
12.346618970390233,10.932154407983816,4A
20.994451647995,11.457399355874788,4A
9.333166665178545,6.084488474802134,4A
18.29871580193539,10.739227160275547,4A
8.755284118747946,7.87534126244698,4A
19.355619339096332,10.157263410978372,4A
15.379044183563554,9.975068922067656,4A
9.596613986193255,8.817255808923772,4A
8.983039574665137,4.882417434017702,4B
4.8048933390867274,2.824535360019414,4B
11.77722378151999,5.058655947976695,4B
12.68857754044952,2.4899799195977463,1
3.151824868231101,3.5222152120505075,4B
11.959222382747132,6.294839156007086,OTH
3.2204037014014255,7.293490248159656,4A
16.42284993537967,2.3224986544667794,1
12.26034257270163,8.28039854113315,4A
8.347814085136301,3.549929576766277,1
11.40793583432165,9.04610413382468,4A
9.053562834597217,7.37807562986447,4A
16.54149328204682,8.238931969618392,4A
14.584615181759169,7.985111145125032,4A
8.913416853261156,8.09277455512014,4A
5.244044240850758,2.7037011669191546,4B
11.299513263853449,7.0654794600225115,4A
9.469371679261512,6.7846886442931185,4A
7.030576078814595,4.4576899847342455,4A
7.822851142646139,4.352011029397789,4A
6.448720803384187,3.803945320322047,4B
14.30748056088143,7.690643666169952,4A
22.136350196001146,9.40776275211062,4A
11.430748007020362,8.136461147206443,4A
13.153744713958835,10.90146779108208,4A
15.689933078251162,8.242026449848362,4A
9.78871799573366,5.9979996665555095,4A
12.164045379724625,6.025694980664056,4A
6.672780529884076,10.70555930346472,4A
13.867515999630214,7.837793056722026,4A
11.366573802162199,6.484211594326638,4A
5.78610404330928,1.354252561378416,1
12.346618970390233,6.127315888706898,4A
1.5912259424732869,2.555973395792687,1
1.5251229458637097,2,1
1.3736811857195979,4.7184743296959875,4A
7.170913470402498,5.286681378710089,4A
12.806248474865697,7.166030979559047,4A
7.870387538107638,2.9183899670880176,1
12.134207843942677,6.728744310790833,4A
12.22464723417408,8.852570248238644,4A
11.281533583693308,6.005580737946997,4A
16.5366260162102,7.6504901803740655,4A
12.893680622692653,9.871727305796083,4A
14.396318973959975,5.845511098270193,4A
11.469263271893274,7.9612184997021656,4A
14.000607129692627,5.281382394790213,15C
10.7010279880019,7.117232608254419,4A
16.165518859597423,7.478168224906418,4A
14.274207508649997,7.0654086930622775,4A
17.460755997378808,9.286387887655781,4A
11.464990187523057,8.790051194390166,4A
17.615220691209064,7.810313694084252,4A
10.232888155354773,7.235744605774861,4A
6.831324908097989,7.476630257007497,4C
18.669949116159906,10.583288713816703,4A
6.801690966223032,8.648294629578713,4C
14.261486598528219,8.233893368267529,4A
11.392365864911467,6.552633058549822,4A
2.8268356867706337,5.413501639419721,4A
12.423888280244636,6.361131974735314,4A
9.636752565050116,2.6210684844162313,1
6.816010563372096,3.549929576766277,1
9.57387069058278,5.1289375118049545,1
11.709568736721263,7.324069906820934,4A
12.779984350538149,7.033988910994955,4A
10.095494044374451,6.6932802122726045,4A
6.209186742239277,3.9734116323381348,4A
12.157919229868243,7.0815252594338745,4A
11.38037784961466,2.9317230428538097,1
9.740482534248496,3.4757732952538776,1
11.805634248103742,5.51633936592012,4A
12.113092090791682,5.75265156254053,4A
15.335970787661276,7.132390903476898,15F
7.000428558309841,4.081911317018046,1
13.19909087778397,1.616477652180815,1
8.083625424275917,2.1890637268019404,1
12.427187936134224,5.480237221142895,4A
14.071957930579526,4.516193087103341,1
6.056979445235059,3.0161233396530718,4B
10.896604975862894,7.594208319502435,4A
7.135334610233777,5.613822227324268,4A
8.831307943900496,5.899067722954196,4A
13.78136422855154,7.42145538287471,4A
13.806954769245824,6.66663333325,4A
10.641428475538422,4.1739669380578475,1
11.043142668642835,4.1739669380578475,1
7.919469679214638,6.352007556670568,4A
4.1739669380578475,2.9514403263491538,1
21.430818929756278,8.2112118472245,4A
5.902795947684453,2.9514403263491538,15C
11.430748007020362,7.009208229179669,4A
11.540017331009516,2.4702226620286685,1
8.401964056100217,3.0194370336206715,1
9.768981523168113,6.864182398508944,4A
15.620787432136703,2.640454506330302,1
12.69243869396264,7.0710678118654755,4A
10.27672126701897,3.6333180427812812,1
14.300314681852285,8.192069335644078,4A
9.527696468716874,3.77279737065218,1
20.20725117377423,10.103613215083008,4A
2.7611591768675705,6.433117440246214,4A
9.592861929580765,6.706489394608777,4A
16.24807680927192,8.757853618324527,4A
15.650814675281284,6.850401448090469,4A
13.0888120163749,8.721525095990954,4A
16.817193582759284,9.97326426001036,4A
11.657143732492965,2.891712295509358,1
11.657143732492965,2.891712295509358,1
12.272774747382925,7.07898297780126,4A
13.608269544655558,10.39523929498499,4A
12.782761829902018,10.430100670655102,4A
6.706787606596768,4.914061456677155,1
6.708203932499369,2.3130067012440754,1
8.03815899320236,3.566370704231404,4C
12.14211678415259,7.532529455634409,4A
12.642784503423286,7.276468923866851,4A
15.576071391721342,8.359784686222486,4A
5.910752913123674,2.4708298201211676,1
4.94034411756914,2.4374166652421163,1
15.768988553486873,8.475730057051132,4A
16.65589985560672,8.354998503889751,4A
14.796790192470798,9.015431215421701,4A
10.794674612974678,7.860915977161949,4A
9.619875259066513,7.624827866909521,15F
16.49796957204128,7.888028904612355,4C
13.94431783917736,9.062836200660366,4A
9.03731154713613,4.780899496956613,4A
8.78584088178246,4.771687332590013,OTH
12.782761829902018,7.569544239912995,4A
13.322274580566187,7.667985393830638,4A
20.65180379531047,7.8737538696609,4A
6.099590150165829,5.126304711973333,4A
7.22461071615627,2.7730849247724096,4B
7.76530746332687,4.2951135025747575,4B
5.701140236829822,1.6739175606940744,4A
15.84578808390419,6.834325131276679,4A
12.39181181264467,5.820395175587308,4A
19.461320612949162,4.6295788145359404,1
17.043679180270907,2.3492552011222623,1
11.526708116370433,7.377601236174262,4A
19.384710469852266,8.7,4C
11.508692367076288,6.993210993527938,4C
8.262324128234138,7.1307783586365945,4C
5.346400658386911,4.379726018828118,4B
1.750999714448863,2.2140460699813813,4B
10,3.8844562038977863,1
17.040569239318266,9.945400947171512,4C
11.575275374694115,10.730424036355693,4A
17.14520341086684,6.798308613177251,4C
15.446326424104859,12.076878735832368,4A
15.600096153549824,9.232713577275101,4A
16.417734313844893,4.192135493993485,1
17.88854381999832,11.551796397097725,4C
9.34558719396486,7.7414468931847615,4A
12.859393453814219,2.932405156181526,15C
14.206864537961922,9.296343367152485,4A
11.896848322139776,9.636856333888142,4A
19.2858756607005,11.848333216111033,4A
10.475781593752325,4.50111097397076,1
12.779984350538149,7.229453644640098,4A
16.08241275431022,8.376216329584617,4A
15.360175780244184,6.5063046347369875,4A
6.353424273570907,3.151190251317746,1
11.11795844568597,4.934673241461891,1
21.29934271286323,5.0274247880997684,1
6.518358689117989,3.1622776601683795,15C
12.440337615997406,6.082762530298219,4A
18.24636950190366,10.04833319511251,4A
9.335202193846687,5.0595454341274575,1
8.464277878236278,4.695955706775778,4A
13.843337747812122,3.9596717035633144,15C
14.092764100771715,3.9596717035633144,15C
7.304382246295712,5.385814701602721,15C
15.690920941742075,3.9596717035633144,15C
12.625054455328103,3.9596717035633144,15C
12.371459089371795,3.9596717035633144,15C
10.772047159198664,3.574353088322417,15C
14.913450305009905,3.9596717035633144,15C
14.63748612296524,3.77279737065218,15C
16.813268569793323,4.327585932133526,15C
13.542599455052933,3.7396523902630308,15C
13.422667395119348,3.9596717035633144,15C
13.525050831697454,3.9596717035633144,15C
9.840121950463825,3.365115154047481,15C
13.213629327327144,7.915427973268407,4A
16.560495161679196,8.559088736541993,15C
18.407878747970937,9.262882920559884,15C
11.281577903821788,3.574353088322417,15C
10.142041214666799,3.574353088322417,15C
18.24151857713606,3.9596717035633144,15C
13.363046059937083,3.9596717035633144,15C
14.608730266522139,3.9596717035633144,15C
20.572724661551273,9.222906266465035,4A
12.518626122702123,3.5537304343464204,15C
15.21666849215031,4.925139591930365,15C
13.968607661467194,3.6195303562755212,15C
14.56399670420177,7.614525592576336,4C
10.224333719123218,6.5167476550807155,4A
5.4283514993043696,4.041905491225642,4A
8.626412927746967,2.808736370683443,OTH
11.927950368776692,3.3564862579787214,15C
10.600424519801082,7.582281978402016,15C
13.557212102788686,3.9596717035633144,15C
6.425262640546299,5.913374671031763,4C
15.477305967124899,4.1739669380578475,1
15.477305967124899,4.1739669380578475,1
7.774123744834526,3.1622776601683795,1
6.352086271454442,4.179354017070102,4B
6.1400325732035,4.16329196670135,4B
6.274950199005566,4.6097722286464435,4B
5.189412298131649,4.003373577371964,4B
3.757791904829218,4.339124335623491,4B
2.9514403263491538,1.0639548862616308,15C
8.545291100951447,5.148494925704016,4B
3.2331099579197735,1.51657508881031,1
4.990691334875359,2.4702226620286685,1
12.414870116114788,7.912837670519976,15F
8.186207913313709,6.503306851133506,15F
11.22568483434307,7.107953291911815,15F
15.992998468079712,8.032496498598677,15C
14.625764937260547,7.453992218938788,4C
7.664006784965681,2.4135036772294343,1
14.685809477178982,3.614692241394833,15C
10.559261337801995,7.605261336732617,4A
10.052114205479363,7.26312604874788,4A
14.45887270847904,8.554004909982224,4A
9.909843591096683,6.984697559665701,4C
13.794020443656013,7.824704467262645,4C
10.48136441499865,7.534122377556659,4A
11.750021276576481,2.8513154858766505,15C
14.947641954502389,7.122218755416039,15C
13.30548758971275,3.1567388235329195,1
6.965486343393403,5.5213223053902585,4C
8.574905247289909,4.685402864215627,4A
8.09635720555856,3.340359262115379,1
5.388506286532475,3.733229165213408,1
9.527224149772062,7.045353078448233,4A
7.2009027211871155,5.36898500649797,4A
3.302726146685492,4.813314866077223,4A
5.3221236362940685,3.8461669230546924,4A
13.098435021024457,7.006639708162537,4A
12.964759928359646,6.604316770113317,4C
8.52038731514008,9.78524399287008,4C
12.902441629397128,9.838038422368557,4A
7.118707747899193,3.6761392791895138,4A
19.971479664761947,9.934988676390125,4A
6.395310782127793,3.4641016151377544,4B
5.677763644252902,4.52625673156086,4A
9.763810731471601,6.798529252713413,4A
15.049285697334607,9.11026893126652,4C
7.467395797732968,7.273513593855449,4C
14.650392486210054,8.79897721329019,4C
14.540667109868103,7.621417191047869,4A
6.625858434950146,3.6195303562755212,1
6.816377336973064,4.938927008976748,1
10.145442326483355,4.970211263115482,1
10.458919638280046,6.659204156654157,4A
10.434797554337123,6.54209446584196,4A
10.654388767076224,6.363646753238272,4A
8.771829911711695,7.281483365359012,15F
8.64152764272614,5.76107628833363,4A
14.658308224348403,7.309309132879797,4A
11.323603666677847,5.76870869432666,4A
8.878006533000525,6.334508662871968,4A
6.816744090839849,6.511681810408122,4A
7.448556907213638,3.2603680773802215,1
4.767284342264472,3.277499046529228,1
3.461213659975356,2.635905916378656,15C
8.764473743471424,4.771268175233918,15C
13.66319874699918,7.1693793315739685,4A
13.168599014321911,8.520269948775097,4B
13.715647997816218,4.458811500837415,4A
9.124801367701107,4.684762534003191,1
16.856482432583615,5.061620293937506,1
15.221924976822084,8.789027249929312,4A
10.641428475538422,9.187382652311811,4A
22.08630797575729,11.24250861685238,4A
15.279037927827787,8.077375811487293,15F
7.888472602475082,5.850213671311502,4A
15.986869612278698,7.472081370006619,4A
11.167855658093007,7.337233811185248,4A
8.082759429798712,9.058476693131135,4A
9.495946503640383,6.85908157117263,4A
5.513166059534213,4.43350876845868,1
8.558679804736242,5.066458329049988,4B
11.430748007020362,3.2331099579197735,1
11.282331319368351,4.401590621582157,4B
2.9777508290654544,3.0461451048825627,4A
17.097923850573203,5.939865318338455,4A
5.815410561602681,2.4326939799325356,1
6.471939431113366,3.1622776601683795,1
12.77352731237539,5.415902510200862,4B
5.828293060579573,5.880051020186815,4A
14.344371718552193,5.833780935208315,4B
4.293949231185669,2.581666128685117,4B
4.751631298827804,3.8619943034655035,4B
8.526664060463505,5.3474292889200505,4B
8.514693182963201,5.653848246990717,4B
4.034104609451768,2.6,1
8.783108789033642,5.7569957443097,4A
10.412732590439457,5.495361680544785,4B
13.721297314758543,5.8921133729757775,4B
11.233120670588383,5.159457335805772,4B
8.36570379585603,3.986853395849915,4B
11.327400407860578,6.2173949528721435,4B
10.660018761709567,5.193842508201418,4B
7.529076968659571,4.8374580101536795,4B
1.5368799562750501,1.2549900398011133,1
13.999749997767816,3.365115154047481,1
4.657252408878008,1.4758048651498612,1
7.48364884264354,2.4314604664686614,1
11.938090299541212,3.2814630883189895,1
11.938090299541212,3.2814630883189895,1
5.388506286532475,2.704995378923964,1
2.792848008753788,0.7745966692414834,1
5.4006481092550365,4.40431606495265,4A
5.2570904500493425,2.8383093559370867,1
3.1543620591175006,4.41554073698794,4B
13.844782410713432,5.838150392033422,4B
10.682134618136958,3.9838423663593923,1
16.517324238507882,9.911458015852158,15F
10.445333886477732,2.701851217221259,15C
3.944616584663204,1.2884098726725126,1
3.944616584663204,1.2884098726725126,1
14.087263751346462,8.950195528590422,4A
7.201874755922932,3.9838423663593923,1
11.394779506423106,7.105209356521453,4A
8.650202309772876,5.992662179699436,4B
9.859411747158143,4.647795176209899,4B
11.805422482910132,5.1920130970559,4B
7.684855236112129,0.5477225575051661,4B
7.843596114028309,4.090354507863592,4A
12.805467582247827,2.449693858423946,1
20.089474856252465,9.333166665178545,4C
4.170851232062827,2.9514403263491538,1
4.092676385936225,4.092676385936225,1
5.0872389367907616,4.153673073317157,1
6.7492962596110715,0.5477225575051661,1
5.549774770204643,4.0743097574926725,OTH
